supplier_id,name,country
1,NordicWood,Suecia
2,GlobalParts,Polonia
3,EuroFurniture,Alemania
4,ScandiMakers,Finlandia
5,WoodLine,Noruega
6,EasyBuild,Alemania
7,PrimeTimber,Letonia
8,FastComponents,Polonia
9,BalticMadera,Lituania
10,AlpineCraft,Austria
11,CasaNordic,Suecia
12,ArcticMuebles,Finlandia
13,NordSteel,Alemania
14,ForestMakers,Estonia
15,BlueTimber,Suecia
16,EuroAssembly,Polonia
17,ArticParts,Noruega
18,ScandiForm,Finlandia
19,WoodGlobal,Austria
20,BalticFab,Letonia
21,TimberCraft,Polonia
22,SimpleParts,Alemania
23,FastWood,Suecia
24,PrimeBuild,Finlandia
25,OakSystems,Alemania
26,ForestLine,Letonia
27,NordicBase,Suecia
28,BuildLab,Polonia
29,WoodPrime,Noruega
30,TimberGlobal,Austria
