product_id,name,category
2,Mesa Lack,Mesas
3,Estantería Billy,Estanterías
4,Silla Poang,Sillas
5,Escritorio Malm,Escritorios
6,Mesa Ingo,Mesas
7,Silla Adde,Sillas
8,Estante Kallax,Estanterías
9,Mesa Melltorp,Mesas
10,Silla Venjan,Sillas
11,Escritorio Alex,Escritorios
12,Mesa Lerhamn,Mesas
13,Estantería Brimnes,Estanterías
14,Silla Stefan,Sillas
15,Silla Tobias,Sillas
16,Estantería Fjällbo,Estanterías
17,Mesa Hemnes,Mesas
18,Silla Janinge,Sillas
19,Escritorio Bekant,Escritorios
20,Estantería Ivar,Estanterías
21,Silla Ekedalen,Sillas
22,Mesa Docksta,Mesas
23,Escritorio Lagkapten,Escritorios
24,Silla Leifarne,Sillas
25,Mesa Vikhammer,Mesas
26,Silla Fanbyn,Sillas
27,Estante Oxberg,Estanterías
28,Mesa Glivarp,Mesas
29,Silla Orrsta,Sillas
30,Estante Havsta,Estanterías
