"id_notificacion","id_tramite","tipo","descripcion","fecha_notificacion"
"1","1","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-19 00:00:00 10:05"
"2","3","Error prótesis","Agente informa envío erróneo y coordina reemplazo.","2025-10-18 00:00:00 09:10"
"3","6","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-21 00:00:00 10:05"
"4","7","Error prótesis","Agente informa envío erróneo y coordina reemplazo.","2025-10-20 00:00:00 09:10"
"5","11","Demora prestador","Agente insiste en comunicación con prestador.","2025-10-15 00:00:00 11:10"
"6","15","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-15 00:00:00 10:05"
"7","18","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-15 00:00:00 10:05"
"8","19","Demora prestador","Agente insiste en comunicación con prestador.","2025-10-21 00:00:00 11:10"
"9","20","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-21 00:00:00 10:05"
"10","24","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-16 00:00:00 10:05"
"11","26","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-19 00:00:00 10:05"
"12","27","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-17 00:00:00 10:05"
"13","28","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-14 00:00:00 10:05"
"14","29","PAMI inactivo","El área PAMI no respondió, agente insiste en acción.","2025-10-15 00:00:00 10:05"
"15","31","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-08 00:00:00 10:05"
"16","33","PAMI inactivo","El área PAMI no respondió, agente insiste en acción.","2025-10-21 00:00:00 10:05"
"17","34","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-10 00:00:00 10:05"
"18","34","Cierre forzado","Agente impulsó cierre del trámite.","2025-10-28 00:00:00 09:20"
"19","35","Demora prestador","Agente insiste en comunicación con prestador.","2025-10-30 00:00:00 11:10"
"20","35","Cierre forzado","Agente impulsó cierre del trámite.","2025-11-02 00:00:00 09:20"
"21","36","Cierre forzado","Agente impulsó cierre del trámite.","2025-11-05 00:00:00 09:20"
"22","37","Cierre forzado","Agente impulsó cierre del trámite.","2025-10-23 00:00:00 09:20"
"23","38","Demora prestador","Agente insiste en comunicación con prestador.","2025-10-15 00:00:00 11:10"
"24","38","Cierre forzado","Agente impulsó cierre del trámite.","2025-10-18 00:00:00 09:20"
"25","39","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-21 00:00:00 10:05"
"26","39","Cierre forzado","Agente impulsó cierre del trámite.","2025-11-06 00:00:00 09:20"
"27","40","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-13 00:00:00 10:05"
"28","40","Cierre forzado","Agente impulsó cierre del trámite.","2025-10-19 00:00:00 09:20"
"29","41","Error prótesis","Agente informa envío erróneo y coordina reemplazo.","2025-10-26 00:00:00 09:10"
"30","41","Cierre forzado","Agente impulsó cierre del trámite.","2025-11-01 00:00:00 09:20"
"31","42","Cierre forzado","Agente impulsó cierre del trámite.","2025-10-25 00:00:00 09:20"
"32","43","Demora proveedor","Agente informa retraso y solicita intervención de PAMI.","2025-10-15 00:00:00 10:05"
"33","44","Error prótesis","Agente informa envío erróneo y coordina reemplazo.","2025-10-28 00:00:00 09:10"
"34","45","PAMI inactivo","El área PAMI no respondió, agente insiste en acción.","2025-10-24 00:00:00 10:05"
"35","47","PAMI inactivo","El área PAMI no respondió, agente insiste en acción.","2025-10-24 00:00:00 10:05"
"36","49","Demora prestador","Agente insiste en comunicación con prestador.","2025-10-29 00:00:00 11:10"
