"id_proveedor","nombre","tipo_insumo","contacto"
"1","Proveedor 1","Prótesis y fijadores","proveedor1@mail.com"
"2","Proveedor 2","Prótesis y fijadores","proveedor2@mail.com"
"3","Proveedor 3","Prótesis y fijadores","proveedor3@mail.com"
"4","Proveedor 4","Prótesis y fijadores","proveedor4@mail.com"
"5","Proveedor 5","Prótesis y fijadores","proveedor5@mail.com"
"6","Proveedor 6","Prótesis y fijadores","proveedor6@mail.com"
"7","Proveedor 7","Prótesis y fijadores","proveedor7@mail.com"
"8","Proveedor 8","Prótesis y fijadores","proveedor8@mail.com"
"9","Proveedor 9","Prótesis y fijadores","proveedor9@mail.com"
"10","Proveedor 10","Prótesis y fijadores","proveedor10@mail.com"
